ts,value
19.80396079,1.81872284
20.00400080,1.81669677
20.20404081,1.81466727
20.40408082,1.81263434
20.60412082,1.81059801
20.80416083,1.80855827
21.00420084,1.80651516
21.20424085,1.80446868
21.40428086,1.80241885
21.60432086,1.80036568
21.80436087,1.79830919
22.00440088,1.79624939
22.20444089,1.79418629
22.40448090,1.79211991
22.60452090,1.79005026
22.80456091,1.78797735
23.00460092,1.78590121
23.20464093,1.78382185
23.40468094,1.78173927
23.60472094,1.77965350
23.80476095,1.77756454
24.00480096,1.77547242
24.20484097,1.77337714
24.40488098,1.77127872
24.60492098,1.76917718
24.80496099,1.76707252
25.00500100,1.76496477
25.20504101,1.76285394
25.40508102,1.76074003
25.60512102,1.75862308
25.80516103,1.75650308
26.00520104,1.75438006
26.20524105,1.75225403
26.40528106,1.75012500
26.60532106,1.74799299
26.80536107,1.74585801
27.00540108,1.74372008
27.20544109,1.74157920
27.40548110,1.73943540
27.60552110,1.73728870
27.80556111,1.73513909
28.00560112,1.73298660
28.20564113,1.73083125
28.40568114,1.72867304
28.60572114,1.72651199
28.80576115,1.72434812
29.00580116,1.72218144
29.20584117,1.72001197
29.40588118,1.71783971
29.60592118,1.71566468
29.80596119,1.71348690
30.00600120,1.71130639
30.20604121,1.70912315
30.40608122,1.70693720
30.60612122,1.70474856
30.80616123,1.70255723
31.00620124,1.70036325
31.20624125,1.69816660
31.40628126,1.69596733
31.60632126,1.69376543
31.80636127,1.69156092
32.00640128,1.68935382
32.20644129,1.68714414
32.40648130,1.68493189
32.60652130,1.68271709
32.80656131,1.68049976
33.00660132,1.67827991
33.20664133,1.67605755
33.40668134,1.67383270
33.60672134,1.67160537
33.80676135,1.66937557
34.00680136,1.66714333
34.20684137,1.66490866
34.40688138,1.66267156
34.60692138,1.66043206
34.80696139,1.65819016
35.00700140,1.65594590
35.20704141,1.65369927
35.40708142,1.65145029
35.60712142,1.64919898
35.80716143,1.64694535
36.00720144,1.64468941
36.20724145,1.64243119
36.40728146,1.64017069
36.60732146,1.63790793
36.80736147,1.63564293
37.00740148,1.63337570
37.20744149,1.63110624
37.40748150,1.62883459
37.60752150,1.62656075
37.80756151,1.62428473
38.00760152,1.62200656
38.20764153,1.61972624
38.40768154,1.61744379
38.60772154,1.61515923
38.80776155,1.61287256
39.00780156,1.61058381
39.20784157,1.60829299
39.40788158,1.60600011
39.60792158,1.60370519
39.80796159,1.60140824
40.00800160,1.59910927
40.20804161,1.59680831
40.40808162,1.59450536
40.60812162,1.59220044
40.80816163,1.58989357
41.00820164,1.58758475
41.20824165,1.58527401
41.40828166,1.58296136
41.60832166,1.58064681
41.80836167,1.57833037
42.00840168,1.57601207
42.20844169,1.57369191
42.40848170,1.57136991
42.60852170,1.56904609
42.80856171,1.56672045
43.00860172,1.56439302
43.20864173,1.56206381
43.40868174,1.55973283
43.60872174,1.55740010
43.80876175,1.55506563
44.00880176,1.55272943
44.20884177,1.55039153
44.40888178,1.54805193
44.60892178,1.54571065
44.80896179,1.54336770
45.00900180,1.54102310
45.20904181,1.53867687
45.40908182,1.53632901
45.60912182,1.53397954
45.80916183,1.53162848
46.00920184,1.52927584
46.20924185,1.52692163
46.40928186,1.52456588
46.60932186,1.52220858
46.80936187,1.51984977
47.00940188,1.51748945
47.20944189,1.51512763
47.40948190,1.51276434
47.60952190,1.51039958
47.80956191,1.50803337
48.00960192,1.50566573
48.20964193,1.50329666
48.40968194,1.50092619
48.60972194,1.49855432
48.80976195,1.49618108
49.00980196,1.49380647
49.20984197,1.49143052
49.40988198,1.48905322
49.60992198,1.48667461
49.80996199,1.48429469
50.01000200,1.48191348
50.21004201,1.47953099
50.41008202,1.47714724
50.61012202,1.47476224
50.81016203,1.47237600
51.01020204,1.46998854
51.21024205,1.46759988
51.41028206,1.46521002
51.61032206,1.46281899
51.81036207,1.46042679
52.01040208,1.45803344
52.21044209,1.45563896
52.41048210,1.45324335
52.61052210,1.45084664
52.81056211,1.44844884
53.01060212,1.44604996
53.21064213,1.44365002
53.41068214,1.44124902
53.61072214,1.43884699
53.81076215,1.43644394
54.01080216,1.43403988
54.21084217,1.43163482
54.41088218,1.42922879
54.61092218,1.42682180
54.81096219,1.42441385
55.01100220,1.42200496
55.21104221,1.41959516
55.41108222,1.41718444
55.61112222,1.41477283
55.81116223,1.41236034
56.01120224,1.40994698
56.21124225,1.40753277
56.41128226,1.40511773
56.61132226,1.40270186
56.81136227,1.40028518
57.01140228,1.39786770
57.21144229,1.39544944
57.41148230,1.39303041
57.61152230,1.39061063
57.81156231,1.38819011
58.01160232,1.38576887
58.21164233,1.38334691
58.41168234,1.38092425
58.61172234,1.37850091
58.81176235,1.37607690
59.01180236,1.37365223
59.21184237,1.37122693
59.41188238,1.36880099
59.61192238,1.36637444
59.81196239,1.36394728
60.01200240,1.36151954
60.21204241,1.35909123
60.41208242,1.35666236
60.61212242,1.35423294
60.81216243,1.35180299
61.01220244,1.34937253
61.21224245,1.34694156
61.41228246,1.34451010
61.61232246,1.34207816
61.81236247,1.33964576
62.01240248,1.33721292
62.21244249,1.33477963
62.41248250,1.33234593
62.61252250,1.32991182
62.81256251,1.32747731
63.01260252,1.32504243
63.21264253,1.32260718
63.41268254,1.32017157
63.61272254,1.31773563
63.81276255,1.31529936
64.01280256,1.31286278
64.21284257,1.31042590
64.41288258,1.30798874
64.61292258,1.30555130
64.81296259,1.30311361
65.01300260,1.30067567
65.21304261,1.29823750
65.41308262,1.29579912
65.61312262,1.29336053
65.81316263,1.29092175
66.01320264,1.28848280
66.21324265,1.28604368
66.41328266,1.28360442
66.61332266,1.28116501
66.81336267,1.27872549
67.01340268,1.27628585
67.21344269,1.27384612
67.41348270,1.27140631
67.61352270,1.26896643
67.81356271,1.26652649
68.01360272,1.26408651
68.21364273,1.26164650
68.41368274,1.25920648
68.61372274,1.25676645
68.81376275,1.25432643
69.01380276,1.25188644
69.21384277,1.24944649
69.41388278,1.24700658
69.61392278,1.24456674
69.81396279,1.24212698
70.01400280,1.23968730
70.21404281,1.23724773
70.41408282,1.23480828
70.61412282,1.23236896
70.81416283,1.22992977
71.01420284,1.22749075
71.21424285,1.22505189
71.41428286,1.22261322
71.61432286,1.22017474
71.81436287,1.21773647
72.01440288,1.21529842
72.21444289,1.21286060
72.41448290,1.21042303
72.61452290,1.20798572
72.81456291,1.20554869
73.01460292,1.20311194
73.21464293,1.20067549
73.41468294,1.19823935
73.61472294,1.19580354
73.81476295,1.19336806
74.01480296,1.19093293
74.21484297,1.18849817
74.41488298,1.18606378
74.61492298,1.18362978
74.81496299,1.18119619
75.01500300,1.17876301
75.21504301,1.17633025
75.41508302,1.17389794
75.61512302,1.17146607
75.81516303,1.16903468
76.01520304,1.16660376
76.21524305,1.16417333
76.41528306,1.16174340
76.61532306,1.15931400
76.81536307,1.15688511
77.01540308,1.15445677
77.21544309,1.15202899
77.41548310,1.14960177
77.61552310,1.14717513
77.81556311,1.14474908
78.01560312,1.14232363
78.21564313,1.13989880
78.41568314,1.13747460
78.61572314,1.13505103
78.81576315,1.13262813
79.01580316,1.13020588
79.21584317,1.12778432
79.41588318,1.12536345
79.61592318,1.12294328
79.81596319,1.12052382
80.01600320,1.11810509
80.21604321,1.11568710
80.41608322,1.11326987
80.61612322,1.11085340
80.81616323,1.10843770
81.01620324,1.10602279
81.21624325,1.10360868
81.41628326,1.10119539
81.61632326,1.09878292
81.81636327,1.09637129
82.01640328,1.09396051
82.21644329,1.09155058
82.41648330,1.08914154
82.61652330,1.08673337
82.81656331,1.08432611
83.01660332,1.08191975
83.21664333,1.07951431
83.41668334,1.07710981
83.61672334,1.07470626
83.81676335,1.07230366
84.01680336,1.06990202
84.21684337,1.06750137
84.41688338,1.06510172
84.61692338,1.06270306
84.81696339,1.06030542
85.01700340,1.05790881
85.21704341,1.05551324
85.41708342,1.05311873
85.61712342,1.05072527
85.81716343,1.04833289
86.01720344,1.04594159
86.21724345,1.04355140
86.41728346,1.04116231
86.61732346,1.03877435
86.81736347,1.03638751
87.01740348,1.03400182
87.21744349,1.03161729
87.41748350,1.02923393
87.61752350,1.02685174
87.81756351,1.02447074
88.01760352,1.02209095
88.21764353,1.01971237
88.41768354,1.01733501
88.61772354,1.01495889
88.81776355,1.01258402
89.01780356,1.01021040
89.21784357,1.00783806
89.41788358,1.00546699
89.61792358,1.00309722
89.81796359,1.00072875
90.01800360,0.99836160
90.21804361,0.99599577
90.41808362,0.99363128
90.61812362,0.99126814
90.81816363,0.98890636
91.01820364,0.98654595
91.21824365,0.98418691
91.41828366,0.98182928
91.61832366,0.97947304
91.81836367,0.97711822
92.01840368,0.97476483
92.21844369,0.97241287
92.41848370,0.97006236
92.61852370,0.96771330
92.81856371,0.96536572
93.01860372,0.96301962
93.21864373,0.96067500
93.41868374,0.95833189
93.61872374,0.95599029
93.81876375,0.95365022
94.01880376,0.95131168
94.21884377,0.94897468
94.41888378,0.94663924
94.61892378,0.94430536
94.81896379,0.94197306
95.01900380,0.93964234
95.21904381,0.93731323
95.41908382,0.93498572
95.61912382,0.93265983
95.81916383,0.93033557
96.01920384,0.92801295
96.21924385,0.92569198
96.41928386,0.92337267
96.61932386,0.92105503
96.81936387,0.91873907
97.01940388,0.91642481
97.21944389,0.91411224
97.41948390,0.91180139
97.61952390,0.90949226
97.81956391,0.90718486
98.01960392,0.90487921
98.21964393,0.90257531
98.41968394,0.90027317
98.61972394,0.89797281
98.81976395,0.89567423
99.01980396,0.89337744
99.21984397,0.89108245
99.41988398,0.88878928
99.61992398,0.88649794
99.81996399,0.88420842
100.02000400,0.88192075
100.22004401,0.87963494
100.42008402,0.87735099
100.62012402,0.87506891
100.82016403,0.87278871
101.02020404,0.87051041
101.22024405,0.86823401
101.42028406,0.86595952
101.62032406,0.86368695
101.82036407,0.86141632
102.02040408,0.85914763
102.22044409,0.85688089
102.42048410,0.85461611
102.62052410,0.85235330
102.82056411,0.85009247
103.02060412,0.84783363
103.22064413,0.84557679
103.42068414,0.84332196
103.62072414,0.84106914
103.82076415,0.83881836
104.02080416,0.83656961
104.22084417,0.83432291
104.42088418,0.83207826
104.62092418,0.82983568
104.82096419,0.82759517
105.02100420,0.82535675
105.22104421,0.82312041
105.42108422,0.82088619
105.62112422,0.81865407
105.82116423,0.81642407
106.02120424,0.81419620
106.22124425,0.81197048
106.42128426,0.80974689
106.62132426,0.80752547
106.82136427,0.80530621
107.02140428,0.80308913
107.22144429,0.80087423
107.42148430,0.79866152
107.62152430,0.79645102
107.82156431,0.79424272
108.02160432,0.79203665
108.22164433,0.78983280
108.42168434,0.78763119
108.62172434,0.78543183
108.82176435,0.78323472
109.02180436,0.78103987
109.22184437,0.77884730
109.42188438,0.77665701
109.62192438,0.77446900
109.82196439,0.77228330
110.02200440,0.77009990
110.22204441,0.76791881
110.42208442,0.76574005
110.62212442,0.76356362
110.82216443,0.76138953
111.02220444,0.75921779
111.22224445,0.75704841
111.42228446,0.75488140
111.62232446,0.75271675
111.82236447,0.75055449
112.02240448,0.74839462
112.22244449,0.74623715
112.42248450,0.74408209
112.62252450,0.74192944
112.82256451,0.73977921
113.02260452,0.73763142
113.22264453,0.73548606
113.42268454,0.73334315
113.62272454,0.73120270
113.82276455,0.72906472
114.02280456,0.72692920
114.22284457,0.72479616
114.42288458,0.72266562
114.62292458,0.72053756
114.82296459,0.71841201
115.02300460,0.71628897
115.22304461,0.71416846
115.42308462,0.71205046
115.62312462,0.70993501
115.82316463,0.70782209
116.02320464,0.70571172
116.22324465,0.70360392
116.42328466,0.70149867
116.62332466,0.69939600
116.82336467,0.69729592
117.02340468,0.69519841
117.22344469,0.69310351
117.42348470,0.69101121
117.62352470,0.68892151
117.82356471,0.68683444
118.02360472,0.68474999
118.22364473,0.68266817
118.42368474,0.68058900
118.62372474,0.67851247
118.82376475,0.67643859
119.02380476,0.67436738
119.22384477,0.67229884
119.42388478,0.67023297
119.62392478,0.66816978
119.82396479,0.66610929
120.02400480,0.66405149
120.22404481,0.66199640
120.42408482,0.65994402
120.62412482,0.65789436
120.82416483,0.65584742
121.02420484,0.65380322
121.22424485,0.65176175
121.42428486,0.64972303
121.62432486,0.64768707
121.82436487,0.64565386
122.02440488,0.64362342
122.22444489,0.64159576
122.42448490,0.63957087
122.62452490,0.63754877
122.82456491,0.63552947
123.02460492,0.63351297
123.22464493,0.63149927
123.42468494,0.62948838
123.62472494,0.62748032
123.82476495,0.62547508
124.02480496,0.62347267
124.22484497,0.62147311
124.42488498,0.61947639
124.62492498,0.61748252
124.82496499,0.61549151
125.02500500,0.61350336
125.22504501,0.61151808
125.42508502,0.60953569
125.62512503,0.60755617
125.82516503,0.60557955
126.02520504,0.60360582
126.22524505,0.60163499
126.42528506,0.59966707
126.62532507,0.59770207
126.82536507,0.59573998
127.02540508,0.59378083
127.22544509,0.59182460
127.42548510,0.58987131
127.62552511,0.58792097
127.82556511,0.58597357
128.02560512,0.58402913
128.22564513,0.58208766
128.42568514,0.58014915
128.62572515,0.57821361
128.82576515,0.57628105
129.02580516,0.57435148
129.22584517,0.57242490
129.42588518,0.57050131
129.62592519,0.56858072
129.82596519,0.56666314
130.02600520,0.56474858
130.22604521,0.56283703
130.42608522,0.56092850
130.62612523,0.55902300
130.82616523,0.55712054
131.02620524,0.55522112
131.22624525,0.55332474
131.42628526,0.55143141
131.62632527,0.54954114
131.82636527,0.54765393
132.02640528,0.54576979
132.22644529,0.54388871
132.42648530,0.54201072
132.62652531,0.54013580
132.82656531,0.53826397
133.02660532,0.53639523
133.22664533,0.53452959
133.42668534,0.53266705
133.62672535,0.53080762
133.82676535,0.52895130
134.02680536,0.52709810
134.22684537,0.52524801
134.42688538,0.52340106
134.62692539,0.52155723
134.82696539,0.51971654
135.02700540,0.51787899
135.22704541,0.51604459
135.42708542,0.51421333
135.62712543,0.51238523
135.82716543,0.51056029
136.02720544,0.50873852
136.22724545,0.50691991
136.42728546,0.50510447
136.62732547,0.50329221
136.82736547,0.50148314
137.02740548,0.49967725
137.22744549,0.49787455
137.42748550,0.49607504
137.62752551,0.49427874
137.82756551,0.49248563
138.02760552,0.49069574
138.22764553,0.48890906
138.42768554,0.48712559
138.62772555,0.48534535
138.82776555,0.48356833
139.02780556,0.48179453
139.22784557,0.48002397
139.42788558,0.47825665
139.62792559,0.47649257
139.82796559,0.47473173
140.02800560,0.47297414
140.22804561,0.47121981
140.42808562,0.46946873
140.62812563,0.46772091
140.82816563,0.46597635
141.02820564,0.46423506
141.22824565,0.46249705
141.42828566,0.46076231
141.62832567,0.45903085
141.82836567,0.45730267
142.02840568,0.45557778
142.22844569,0.45385617
142.42848570,0.45213787
142.62852571,0.45042285
142.82856571,0.44871114
143.02860572,0.44700274
143.22864573,0.44529764
143.42868574,0.44359585
143.62872575,0.44189737
143.82876575,0.44020222
144.02880576,0.43851038
144.22884577,0.43682187
144.42888578,0.43513669
144.62892579,0.43345483
144.82896579,0.43177631
145.02900580,0.43010113
145.22904581,0.42842929
145.42908582,0.42676079
145.62912583,0.42509563
145.82916583,0.42343383
146.02920584,0.42177537
146.22924585,0.42012028
146.42928586,0.41846854
146.62932587,0.41682016
146.82936587,0.41517514
147.02940588,0.41353350
147.22944589,0.41189522
147.42948590,0.41026031
147.62952591,0.40862878
147.82956591,0.40700063
148.02960592,0.40537585
148.22964593,0.40375446
148.42968594,0.40213646
148.62972595,0.40052184
148.82976595,0.39891061
149.02980596,0.39730278
149.22984597,0.39569834
149.42988598,0.39409730
149.62992599,0.39249966
149.82996599,0.39090542
150.03000600,0.38931459
150.23004601,0.38772717
150.43008602,0.38614316
150.63012603,0.38456255
150.83016603,0.38298537
151.03020604,0.38141159
151.23024605,0.37984124
151.43028606,0.37827431
151.63032607,0.37671080
151.83036607,0.37515072
152.03040608,0.37359406
152.23044609,0.37204083
152.43048610,0.37049104
152.63052611,0.36894467
152.83056611,0.36740174
153.03060612,0.36586225
153.23064613,0.36432620
153.43068614,0.36279358
153.63072615,0.36126441
153.83076615,0.35973868
154.03080616,0.35821640
154.23084617,0.35669757
154.43088618,0.35518218
154.63092619,0.35367025
154.83096619,0.35216176
155.03100620,0.35065673
155.23104621,0.34915516
155.43108622,0.34765704
155.63112623,0.34616238
155.83116623,0.34467119
156.03120624,0.34318345
156.23124625,0.34169917
156.43128626,0.34021836
156.63132627,0.33874101
156.83136627,0.33726713
157.03140628,0.33579672
157.23144629,0.33432978
157.43148630,0.33286630
157.63152631,0.33140630
157.83156631,0.32994977
158.03160632,0.32849672
158.23164633,0.32704713
158.43168634,0.32560103
158.63172635,0.32415840
158.83176635,0.32271925
159.03180636,0.32128357
159.23184637,0.31985138
159.43188638,0.31842266
159.63192639,0.31699743
159.83196639,0.31557568
160.03200640,0.31415741
160.23204641,0.31274263
160.43208642,0.31133133
160.63212643,0.30992352
160.83216643,0.30851919
161.03220644,0.30711834
161.23224645,0.30572099
161.43228646,0.30432712
161.63232647,0.30293674
161.83236647,0.30154985
162.03240648,0.30016644
162.23244649,0.29878653
162.43248650,0.29741011
162.63252651,0.29603717
162.83256651,0.29466773
163.03260652,0.29330178
163.23264653,0.29193932
163.43268654,0.29058035
163.63272655,0.28922487
163.83276655,0.28787289
164.03280656,0.28652440
164.23284657,0.28517940
164.43288658,0.28383789
164.63292659,0.28249987
164.83296659,0.28116535
165.03300660,0.27983432
165.23304661,0.27850679
165.43308662,0.27718274
165.63312663,0.27586219
165.83316663,0.27454513
166.03320664,0.27323157
166.23324665,0.27192149
166.43328666,0.27061491
166.63332667,0.26931182
166.83336667,0.26801222
167.03340668,0.26671612
167.23344669,0.26542350
167.43348670,0.26413438
167.63352671,0.26284874
167.83356671,0.26156660
168.03360672,0.26028794
168.23364673,0.25901278
168.43368674,0.25774110
168.63372675,0.25647291
168.83376675,0.25520821
169.03380676,0.25394700
169.23384677,0.25268928
169.43388678,0.25143504
169.63392679,0.25018428
169.83396679,0.24893701
170.03400680,0.24769323
170.23404681,0.24645292
170.43408682,0.24521610
170.63412683,0.24398277
170.83416683,0.24275291
171.03420684,0.24152653
171.23424685,0.24030363
171.43428686,0.23908422
171.63432687,0.23786827
171.83436687,0.23665581
172.03440688,0.23544682
172.23444689,0.23424130
172.43448690,0.23303926
172.63452691,0.23184069
172.83456691,0.23064560
173.03460692,0.22945397
173.23464693,0.22826581
173.43468694,0.22708112
173.63472695,0.22589989
173.83476695,0.22472214
174.03480696,0.22354784
174.23484697,0.22237701
174.43488698,0.22120964
174.63492699,0.22004573
174.83496699,0.21888528
175.03500700,0.21772829
175.23504701,0.21657475
175.43508702,0.21542467
175.63512703,0.21427804
175.83516703,0.21313486
176.03520704,0.21199513
176.23524705,0.21085885
176.43528706,0.20972602
176.63532707,0.20859663
176.83536707,0.20747069
177.03540708,0.20634819
177.23544709,0.20522912
177.43548710,0.20411350
177.63552711,0.20300131
177.83556711,0.20189256
178.03560712,0.20078725
178.23564713,0.19968536
178.43568714,0.19858690
178.63572715,0.19749187
178.83576715,0.19640027
179.03580716,0.19531209
179.23584717,0.19422733
179.43588718,0.19314599
179.63592719,0.19206807
179.83596719,0.19099357
180.03600720,0.18992248
180.23604721,0.18885480
180.43608722,0.18779053
180.63612723,0.18672966
180.83616723,0.18567220
181.03620724,0.18461815
181.23624725,0.18356750
181.43628726,0.18252024
181.63632727,0.18147638
181.83636727,0.18043592
182.03640728,0.17939884
182.23644729,0.17836516
182.43648730,0.17733486
182.63652731,0.17630795
182.83656731,0.17528442
183.03660732,0.17426426
183.23664733,0.17324749
183.43668734,0.17223409
183.63672735,0.17122406
183.83676735,0.17021740
184.03680736,0.16921411
184.23684737,0.16821419
184.43688738,0.16721762
184.63692739,0.16622441
184.83696739,0.16523456
185.03700740,0.16424807
185.23704741,0.16326492
185.43708742,0.16228513
185.63712743,0.16130867
185.83716743,0.16033557
186.03720744,0.15936580
186.23724745,0.15839937
186.43728746,0.15743627
186.63732747,0.15647650
186.83736747,0.15552006
187.03740748,0.15456695
187.23744749,0.15361716
187.43748750,0.15267069
187.63752751,0.15172754
187.83756751,0.15078770
188.03760752,0.14985117
188.23764753,0.14891794
188.43768754,0.14798803
188.63772755,0.14706141
188.83776755,0.14613809
189.03780756,0.14521806
189.23784757,0.14430133
189.43788758,0.14338789
189.63792759,0.14247773
189.83796759,0.14157085
190.03800760,0.14066725
190.23804761,0.13976693
190.43808762,0.13886988
190.63812763,0.13797610
190.83816763,0.13708558
191.03820764,0.13619833
191.23824765,0.13531433
191.43828766,0.13443359
191.63832767,0.13355610
191.83836767,0.13268186
192.03840768,0.13181086
192.23844769,0.13094311
192.43848770,0.13007859
192.63852771,0.12921731
192.83856771,0.12835925
193.03860772,0.12750443
193.23864773,0.12665283
193.43868774,0.12580445
193.63872775,0.12495928
193.83876775,0.12411733
194.03880776,0.12327858
194.23884777,0.12244304
194.43888778,0.12161070
194.63892779,0.12078156
194.83896779,0.11995562
195.03900780,0.11913286
195.23904781,0.11831329
195.43908782,0.11749690
195.63912783,0.11668369
195.83916783,0.11587366
196.03920784,0.11506679
196.23924785,0.11426310
196.43928786,0.11346256
196.63932787,0.11266519
196.83936787,0.11187097
197.03940788,0.11107990
197.23944789,0.11029198
197.43948790,0.10950720
197.63952791,0.10872556
197.83956791,0.10794705
198.03960792,0.10717168
198.23964793,0.10639943
198.43968794,0.10563031
198.63972795,0.10486430
198.83976795,0.10410141
199.03980796,0.10334163
199.23984797,0.10258496
199.43988798,0.10183139
199.63992799,0.10108091
199.83996799,0.10033353
200.04000800,0.09958924
200.24004801,0.09884804
200.44008802,0.09810991
200.64012803,0.09737487
200.84016803,0.09664289
201.04020804,0.09591398
201.24024805,0.09518814
201.44028806,0.09446535
201.64032807,0.09374563
201.84036807,0.09302895
202.04040808,0.09231531
202.24044809,0.09160472
202.44048810,0.09089717
202.64052811,0.09019265
202.84056811,0.08949116
203.04060812,0.08879269
203.24064813,0.08809725
203.44068814,0.08740481
203.64072815,0.08671539
203.84076815,0.08602898
204.04080816,0.08534557
204.24084817,0.08466515
204.44088818,0.08398773
204.64092819,0.08331329
204.84096819,0.08264184
205.04100820,0.08197337
205.24104821,0.08130787
205.44108822,0.08064534
205.64112823,0.07998578
205.84116823,0.07932918
206.04120824,0.07867553
206.24124825,0.07802484
206.44128826,0.07737709
206.64132827,0.07673228
206.84136827,0.07609042
207.04140828,0.07545148
207.24144829,0.07481547
207.44148830,0.07418239
207.64152831,0.07355222
207.84156831,0.07292497
208.04160832,0.07230063
208.24164833,0.07167919
208.44168834,0.07106065
208.64172835,0.07044501
208.84176835,0.06983226
209.04180836,0.06922239
209.24184837,0.06861540
209.44188838,0.06801129
209.64192839,0.06741005
209.84196839,0.06681168
210.04200840,0.06621617
210.24204841,0.06562351
210.44208842,0.06503371
210.64212843,0.06444675
210.84216843,0.06386264
211.04220844,0.06328137
211.24224845,0.06270292
211.44228846,0.06212731
211.64232847,0.06155452
211.84236847,0.06098454
212.04240848,0.06041738
212.24244849,0.05985303
212.44248850,0.05929148
212.64252851,0.05873274
212.84256851,0.05817678
213.04260852,0.05762362
213.24264853,0.05707324
213.44268854,0.05652563
213.64272855,0.05598081
213.84276855,0.05543875
214.04280856,0.05489946
214.24284857,0.05436293
214.44288858,0.05382915
214.64292859,0.05329813
214.84296859,0.05276985
215.04300860,0.05224431
215.24304861,0.05172151
215.44308862,0.05120144
215.64312863,0.05068409
215.84316863,0.05016947
216.04320864,0.04965756
216.24324865,0.04914837
216.44328866,0.04864188
216.64332867,0.04813810
216.84336867,0.04763701
217.04340868,0.04713861
217.24344869,0.04664291
217.44348870,0.04614988
217.64352871,0.04565954
217.84356871,0.04517187
218.04360872,0.04468687
218.24364873,0.04420453
218.44368874,0.04372485
218.64372875,0.04324783
218.84376875,0.04277346
219.04380876,0.04230173
219.24384877,0.04183265
219.44388878,0.04136620
219.64392879,0.04090238
219.84396879,0.04044119
220.04400880,0.03998262
220.24404881,0.03952667
220.44408882,0.03907333
220.64412883,0.03862260
220.84416883,0.03817447
221.04420884,0.03772895
221.24424885,0.03728602
221.44428886,0.03684567
221.64432887,0.03640792
221.84436887,0.03597275
222.04440888,0.03554015
222.24444889,0.03511013
222.44448890,0.03468268
222.64452891,0.03425779
222.84456891,0.03383546
223.04460892,0.03341568
223.24464893,0.03299846
223.44468894,0.03258378
223.64472895,0.03217165
223.84476895,0.03176205
224.04480896,0.03135499
224.24484897,0.03095046
224.44488898,0.03054846
224.64492899,0.03014898
224.84496899,0.02975202
225.04500900,0.02935757
225.24504901,0.02896563
225.44508902,0.02857620
225.64512903,0.02818927
225.84516903,0.02780484
226.04520904,0.02742291
226.24524905,0.02704346
226.44528906,0.02666651
226.64532907,0.02629204
226.84536907,0.02592005
227.04540908,0.02555053
227.24544909,0.02518349
227.44548910,0.02481892
227.64552911,0.02445682
227.84556911,0.02409718
228.04560912,0.02374000
228.24564913,0.02338528
228.44568914,0.02303301
228.64572915,0.02268320
228.84576915,0.02233583
229.04580916,0.02199090
229.24584917,0.02164842
229.44588918,0.02130838
229.64592919,0.02097078
229.84596919,0.02063561
230.04600920,0.02030287
230.24604921,0.01997256
230.44608922,0.01964468
230.64612923,0.01931922
230.84616923,0.01899618
231.04620924,0.01867557
231.24624925,0.01835737
231.44628926,0.01804159
231.64632927,0.01772823
231.84636927,0.01741728
232.04640928,0.01710873
232.24644929,0.01680260
232.44648930,0.01649888
232.64652931,0.01619757
232.84656931,0.01589866
